item no.,Type,Ratio,Power,Speed,Torque,S.F,Voltage System,Rated Current (at 400 V),Brake Volt / Torque / Rectifier,Shaft / Flange,MTG/KK,MOTOR FLANGE,Serial No.,ID No.,Machine No.
103,R37DRS71M4BE1,22.27,0.55,1360/62,85,2.4,230/400,1.62,400/10/BG,25X50,M5,120,รอตรวจสอบ,103.02227.4B.0103,3160M1
104,R37DRS71M4BE1,22.27,0.55,1360/62,85,2.4,230/400,1.62,400/10/BG,25X50,M5,120,รอตรวจสอบ,103.02227.4B.0104,3170M1
105,R37DRS71M4BE1,22.27,0.55,1360/62,85,2.4,230/400,1.62,400/10/BG,25X50,M5,120,40.1386363201.0001.11,103.02227.4B.0105,3180M1
106,R37DRS71M4BE1,22.27,0.55,1360/62,85,2.4,230/400,1.62,400/10/BG,25X50,M5,120,รอตรวจสอบ,103.02227.4B.0106,3190M1
107,R37DRS71M4BE1,22.27,0.55,1360/62,85,2.4,230/400,1.62,400/10/BG,25X50,M5,120,40.1386363201.0002.11,103.02227.4B.0107,1755M1
108,R37DRS71M4BE1,22.27,0.55,1360/62,85,2.4,230/400,1.62,400/10/BG,25X50,M3,120,40.1386059302.0005.11,103.02227.4B.0108,1055M1
109,R37DRS71M4BE1,22.27,0.55,1360/62,85,2.4,230/400,1.62,400/10/BG,25X50,M3,120,40.1386059302.0001.11,103.02227.4B.0109,1065M1
110,R37DRS71M4BE1,22.27,0.55,1360/62,85,2.4,230/400,1.62,400/10/BG,25X50,M3,120,40.1386059302.0002.11,103.02227.4B.0110,1170M1
111,R37DRS71M4BE1,22.27,0.55,1360/62,85,2.4,230/400,1.62,400/10/BG,25X50,M3,120,รอตรวจสอบ,103.02227.4B.0111,1750M1
112,R37DRS71M4BE1,22.27,0.55,1360/62,85,2.4,230/400,1.62,400/10/BG,25X50,M3,120,รอตรวจสอบ,103.02227.4B.0112,1765M1
113,R37DRS71M4,28.73,0.55,1360/48,110,,230/400,1.62,,25X50,M5/90,120,390151004.1.03.39001,103.02873.40.0113,3240M1
114,R37DRS71M4BE1,28.73,0.55,1360/48,110,,230/400,1.62,380/5/BG,25X50,M5/90,120,390151004.1.02.39001,103.02873.40.0114,3255M1
115,R37DRS71M4,44.81,0.55,1360/30,173,1.15,230/400,1.62,,25X50,M3,120,01.?????????.0005.07,103.04481.40.0115,KHITSADA
116,R37DRS71M4,44.81,0.55,1360/30,173,1.15,230/400,1.62,,25X50,,120,รอตรวจสอบ,103.04481.40.0116,3070M1
117,R37DRS71M4,44.81,0.55,1360/30,173,1.15,230/400,1.62,,25X50,M3,120,40.1386260703.0001.11,103.04481.40.0117,3085M1
118,R37DRS71M4,44.81,0.55,1360/30,173,1.15,230/400,1.62,,25X50,M3,120,รอตรวจสอบ,103.04481.40.0118,3120M1
119,R37DRS71M4BE1,44.81,0.55,1360/30,173,1.15,230/400,1.62,380/10/BG,25X50,M1,120,40.1384172904.0001.11,103.04481.4B.0119,KHITSADA
120,R37DRS71M4BE1,44.81,0.55,1360/30,173,1.15,230/400,1.62,380/10/BG,25X50,M1,120,40.1384172904.0003.11,103.04481.4B.0120,KHITSADA
121,R37DRS71M4BE1,44.81,0.55,1360/30,173,1.15,230/400,1.62,380/10/BG,25X50,M5,120,รอตรวจสอบ,103.04481.4B.0121,3270M1
122,R37DRS71M4BE1,44.81,0.55,1360/30,173,1.15,230/400,1.62,380/10/BG,25X50,M5,120,40.1752425104.0002.11,103.04481.4B.0122,3280M1
123,RF37DRE80M4BE1,15.6,0.75,1435/92,78,2.6,230/400,1.75,380/7/BG,25X50 / 160,M3/90,120,40.1384743401.0001.11,113.01560.5B.0123,1430M1
124,RF37DRS71M4BE1,22.27,0.55,1380/62,85,2.4,230/400,1.62,,25X50 / 160,M3/90,120,40.1384743402.0001.11,113.02227.4B.0124,1435M1
125,RF57DRE80M4/BE1,80.55,0.75,1435/18,400,1.1,230/400,1.75,380/10/BG,35X70 / 200,M1,160,40.1386363206.0003.11,115.08055.5B.0125,3080M1
126,RF57DRE80M4/BE1,80.55,0.75,1435/18,400,1.1,230/400,1.75,380/10/BG,35X70 / 200,M1,160,รอตรวจสอบ,115.08055.5B.0126,3120M1
127,SA47DR63L4,84,0.25,1300/15,98,1.7,230/400,0.73,-,D25,M4A/270,120,50.1702711603.0012.11,224.08400.30.0127,30W2
128,SA67DRE80M4BE1,158.45,0.75,1435/9.1,510,1,230/400,1.75,400/5/BG,D45,M1A,160,40.1384185301.0002.11,226.15845.5B.0128,1800M1
129,S67DRS90M4BE2,23.22,1.5,1395/60,215,1.6,230/400,3.3,400/7/BG,35X70,M5A/90,160,40.1358522305.0003.10,206.02322.7B.0129,18M1
130,SAF67DRS71S4BE05/Z,121.33,0.37,1380/11,,,230/400,,380/5/BG,D40 / ,M5A/0,160,390151004.1.01.39001,246.12133.3B.0130,3260M1
131,SH37 AQH80/2,9.02,,1400/155,46,,,,,,M1B, -,40.1386059301.0001.11,233.00902.Q0.0131,1175M1
132,SH37 AQH80/2,9.02,,1400/155,46,,,,,,M1B, -,40.1386059301.0002.11,233.00902.Q0.0132,1185M1
133,W20DR63M4,24.5,0.18,1320/54,22,1.85,230/400,,-,,M2A/270, -,40.1373203603.0001.10,500.02450.20.0133,27M7
134,WA20DR63M4,48,0.18,1320/28,32,1.25,230/400,,-,,M1B , -,01.1383024201.0013.11,520.04800.20.0134,W291
135,WA20DR63M6/BR,75,0.12,900/12,36,,230/400,,400/1.6/BG1.2,,M1A, -,40.1384743405.0001.11,520.07500.1B.0135,1445M1
136,WAF20DR63M4,32.5,0.18,1320/41,28,,230/400,,,,M1A, -,01.1341294303.0002.10,540.03250.20.0136,W271
137,WAF20DRS71S4,6.57,0.37,1380/210,15,,230/400,1.23,,D20 / 120,M1B/270/1, -,01.1382661202.0004.11,540.00657.30.0137,W261
138,KA47DRE90M4/DH,5.81,1.1,1420/244,43,5.4,230/400,2.55,,D40*,M1A,160,01.1317578320.0001X09,324.00581.60.0138,D4
139,SA37DR63L2,3.97,0.37,3250/819,4,3.7,230/400,0.92,-,D20,M1B/90,120,50.1379329101.0002.10,223.00397.30.0139,WM4
140,DRE100L4/BE5/FL/V,,2.2,1440,,,230/400,4.95,400/20/BGE,28X60,B5,FF165 / D200,40.1386059307.0001.11,000.00000.8B.0140,1605M1
141,FH57DRE100L4/BE5,21.17,2.2,1440/68,310,1.95,230/400,4.95,400/40/BGE,D40,M6/0,160,40.1386059309.0001.11,435.02117.8B.0141,1640M1
142,FH77DRE132S4/BE5/V,28.75,4,1460/51,750,1.9,230/400,6.7,400/55/BGE,D50,M5/180,200,40.1385359102.0001.11 ,437.02875.Ab.0142,
143,FH77DRE132S4/BE5/V,28.75,4,1460/51,750,1.9,230/400,6.7,400/55/BGE,D50,M6/0,200,40.1385359101.0001.11 ,437.02875.Ab.0143,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,KA37DRE90M4,17.15,1.1,1420/83,127,1.4,230/400,,,D30,M4B,120,40.1390182009.0001.11,,FOR 945M1
